premise_code,premise,address,premise_type,state,district
21085.0,TMG MART ( KEPONG PRIMA ),"NO 6, 8 & 10, GROUND, FIRST & SECOND FLOOR,JALAN PRIMA 11, KEPONG BARU,",Pasar Raya / Supermarket,W.P. Kuala Lumpur,Kepong
21086.0,BEN'S INDEPENDENT GROCER ( B.I.G ),"G-01, GROUND FLOOR, PEARL SHOPPING GALLERY,NO 2A, JALAN SEPADU, OFF JALAN KLANG LAMA,",Pasar Raya / Supermarket,W.P. Kuala Lumpur,Seputeh
21087.0,JAYA GROCER LALAPORT ( BBCC MALL ),"BBCM MALL, LG1- 15D, LG FLOOR,NO 2, JALAN HANG TUAH,",Pasar Raya / Supermarket,W.P. Kuala Lumpur,Bukit Bintang
21088.0,KEDAI RUNCIT A & Y,"NO. 2 JALAN TANJUNG,FELDA TENGGAROH 2,",Pasar Mini,Johor,Mersing
21089.0,KEDAI RUNCIT ABDUL AZIZ NITAR 2,"GERAI 4B JALAN GERAI,FELDA NITAR 2,",Pasar Mini,Johor,Mersing
21090.0,KEDAI RUNCIT CEEKEY,"NO. 1 JB23,,KEDAI RUNCIT JALAN BESAR,FELDA TENGGAROH 5",Kedai Runcit,Johor,Mersing
21091.0,KEDAI RUNCIT DELIMA MAJU,"6 & 8 JALAN KEMAJUAN,TAMAN DESA RAHMAT,JOHOR BAHRU",Kedai Runcit,Johor,Johor Bahru
21092.0,PASAR MINI M & N,"NO. 32-A, LOT 5022,JALAN KENANGAN,KAMPUNG MELAYU MAJIDI",Kedai Runcit,Johor,Johor Bahru
21093.0,LOTUS MUTIARA RINI,"NO 1 JALAN PERSIARAN JASA 1,TAMAN MUTIARA RINI,81300 SKUDAI",Hypermarket,Johor,Johor Bahru
21094.0,PERNIAGAAN SAUDARA JAYA ENTERPRISE,"NO 14 JALAN SUSUR LARKIN PERDANA 2,LARKIN PERDANA,JOHOR BAHRU",Kedai Runcit,Johor,Johor Bahru
21095.0,FARIDAH IDAMAN RESOURCES,"PT 5454, TINGKAT BAWAH BANGUNAN KOPKEJAT,KG KULIM GEMANG, TANAH MERAH,",Kedai Runcit,Kelantan,Jeli
21096.0,HAFFEZ AISHAH ENTERPRISE,"PT 227, JALAN JEDOK BATU 7,LEBUHRAYA TANAH MERAH-JELI, TANAH MERAH,",Kedai Runcit,Kelantan,Tanah Merah
21097.0,"SK FRESH SUPERMARKET (TANAH MERAH, PENDANG)","06700 PENDANG KEDAH,PENDANG,",Pasar Raya / Supermarket,Kedah,Pendang
21098.0,KULIM POINT,"JALAN BUKIT AWI,,TAMAN BUDIMAN,,KULIM KEDAH",Pasar Mini,Kedah,Kulim
21099.0,PERNIAGAAN BAN YOU SDN BHD,"493,494,495 JLN KOTA KENARI 3,,JLN KOTA KENARI 3, TAMAN KOTA KENARI,,KULIM",Pasar Mini,Kedah,Kulim
21100.0,SEGI FRESH SERDANG KEDAH,"NO. 10-G ,11-G & 12-G,,KOMPLEKS UMNO, SERDANG,,SERDANG, KEDAH",Pasar Mini,Kedah,Kulim
21101.0,TF VALUE-MART KULIM,"NO.342A, TINGKAT ATAS,,TAMAN SERAYA INDAH,,KULIM, KEDAH",Pasar Raya / Supermarket,Kedah,Kulim
21102.0,PASAR AWAM LEMBAH IMPIANA,"JALAN LEMBAH IMPIANA 1,,TAMAN LEMBAH IMPIANA,,KULIM. KEDAH",Pasar Basah,Kedah,Kulim
21103.0,FARIDABI NORTHERN STORES,"JALAN POLIMAS , TAMAN SISWA 8,,BANDAR DARULAMAN,,JITRA, KEDAH",Pasar Raya / Supermarket,Kedah,Kubang Pasu
21104.0,PASARAYA KAWAN KITA SDN. BHD.,"NO. 118-124, PERSIARAN KKCC 3,,KUALA KETIL COMMERCIAL CENTRE,KUALA KETIL, KEDAH.",Pasar Mini,Kedah,Baling
21105.0,SK FRESH SUPERMARKET (SIK) SDN. BHD.,"LOT PT 9334, PT 9336, PT 9338-PT 9340, PT 9657, PT 3712,,PEKAN SIK, BANDAR SIK,SIK, KEDAH.",Pasar Mini,Kedah,Sik
21106.0,SAFINAH MAJU ENTERPRISE,"NO. 433,,JALAN TUNKU IBRAHIM,SIK, KEDAH.",Pasar Mini,Kedah,Sik
21107.0,ECONO JAYA SIK,"NO. 1,2,3 TINGKAT BAWAH,,JALAN BUNGA RAYA KOMPLEKS PERNIAGAAN BUNGA RAYA,SIK, KEDAH.",Pasar Mini,Kedah,Sik
21108.0,TF VALUE – MART SUNGAI LALANG,"NO 49, JALAN DATARAN SETIA 3,,DATARAN SETIA SUNGAI LALANG,BEDONG KEDAH DARUL AMAN",Pasar Raya / Supermarket,Kedah,Kuala Muda
21109.0,PASARAYA BILLION SHOPING CENTRE (SUNGAI PETANI),"3RD FLOOR, KOMPLEKS CAYMAN 2,,A3-1/46,2, PEKAN BARU, JALAN MAWAR,,SUNGAI PETANI. KEDAH",Pasar Raya / Supermarket,Kedah,Kuala Muda
21110.0,BAN ENG HUAT,"312-B,SIMPANG PASIR JENIANG,GURUN KEDAH DARUL AMAN",Pasar Mini,Kedah,Kuala Muda
21111.0,PERNIAGAAN PAK TORI SDN. BHD,"NO 10 & 11, PERSIARAN MAHSURI,,TAMAN MAHSURI, SUNGAI LIMAU DALAM,,YAN, KEDAH",Pasar Mini,Kedah,Yan
